Class,Elongation,Isoperimetric Factor,Average Contrast
1,0.32396,0.83592,0.12795
1,0.36116,0.79867,0.090476
1,0.38998,0.80812,0.057445
1,0.35376,0.81697,0.065491
1,0.44462,0.75493,0.045339
1,0.34284,0.84482,0.058528
1,0.44458,0.7677,0.080587
1,0.39222,0.80816,0.089686
1,0.45693,0.77106,0.040616
1,0.58336,0.66419,0.042347
1,0.34116,0.83088,0.036511
1,0.43387,0.76985,0.057832
2,0.64257,0.59851,0.089889
2,0.60323,0.64916,0.072486
2,0.56667,0.66427,0.091328
2,0.51464,0.70277,0.092063
2,0.61648,0.63037,0.082029
2,0.56218,0.64158,0.092969
2,0.4892,0.70267,0.070841
2,0.57815,0.64598,0.086477
2,0.65828,0.5795,0.072237
2,0.46549,0.75976,0.13234
3,0.36317,0.60555,0.20088
3,0.32559,0.75954,0.097143
3,0.33117,0.61661,0.1606
3,0.38111,0.6925,0.11502
3,0.3846,0.60571,0.15931
3,0.29593,0.64029,0.1598
3,0.3446,0.67517,0.16411
3,0.35318,0.62068,0.10589
3,0.37528,0.61136,0.16858
3,0.32592,0.65698,0.14722
4,0.17272,0.73417,0.13718
4,0.2836,0.77871,0.1186
4,0.40827,0.62558,0.092188
4,0.31556,0.65487,0.08221
4,0.28616,0.77183,0.065575
4,0.38804,0.68188,0.064242
4,0.17039,0.79407,0.078211
4,0.23254,0.82703,0.10941
5,0.63151,0.37688,0.12554
5,0.58345,0.41551,0.10047
5,0.62039,0.33077,0.1157
5,0.7298,0.33439,0.12051
5,0.6558,0.35618,0.14901
5,0.69555,0.31039,0.10517
5,0.64925,0.35318,0.12036
5,0.67175,0.37007,0.11955
5,0.63974,0.34354,0.1519
5,0.62464,0.32238,0.16335
5,0.59909,0.32056,0.18571
5,0.6025,0.31304,0.16319
6,0.72231,0.20039,0.053494
6,0.623,0.27687,0.067044
6,0.68343,0.23896,0.080623
6,0.51662,0.33784,0.082047
6,0.70618,0.21009,0.080306
6,0.60663,0.24135,0.096215
6,0.693,0.26004,0.073201
6,0.52998,0.33753,0.042071
7,0.5348,0.37276,0.1192
7,0.53329,0.27825,0.087838
7,0.54611,0.49437,0.14411
7,0.49244,0.57136,0.1012
7,0.55606,0.52669,0.092866
7,0.49818,0.62301,0.077667
7,0.55339,0.60231,0.1344
7,0.52725,0.67283,0.073946
7,0.47458,0.50374,0.075567
7,0.51931,0.60526,0.1156
8,0.83612,0.31546,0.10661
8,0.83628,0.29509,0.097095
8,0.84928,0.27717,0.10283
8,0.82878,0.30777,0.073118
8,0.83884,0.28345,0.080869
8,0.84124,0.29288,0.089821
8,0.84726,0.28899,0.11842
8,0.82847,0.32134,0.11622
8,0.84737,0.29982,0.095642
8,0.83942,0.31607,0.13524
8,0.86069,0.26951,0.087108
9,0.34976,0.51298,0.17347
9,0.32286,0.63545,0.15124
9,0.31093,0.59707,0.12505
9,0.40145,0.43977,0.19211
9,0.41362,0.50892,0.15033
9,0.36992,0.54283,0.14256
9,0.38769,0.46204,0.16198
9,0.27095,0.66599,0.10405
9,0.37691,0.54006,0.18377
9,0.32967,0.56329,0.18249
9,0.46455,0.4865,0.10191
9,0.32454,0.62017,0.12228
9,0.35704,0.64448,0.13137
9,0.39683,0.49492,0.14621
10,0.38458,0.54595,0.18608
10,0.36748,0.57995,0.18732
10,0.39517,0.51113,0.17465
10,0.32151,0.58719,0.14622
10,0.42697,0.44764,0.19149
10,0.34301,0.57879,0.25543
10,0.30101,0.6743,0.23034
10,0.25496,0.6084,0.23571
10,0.22905,0.71234,0.22041
10,0.31283,0.5933,0.2605
10,0.27055,0.70006,0.21507
10,0.23328,0.67107,0.24744
10,0.26213,0.59302,0.28081
